DateTime,Position,Height (Feet),Width (Feet),Density (Gallons)
2026-04-16_10:10:58,"40.73609962128103, -81.9028708152473",10.1,8.33,0.06
2026-04-16_10:10:59,"40.73606290854514, -81.90290601924062",9.84,8.33,0.05
2026-04-16_10:11:01,"40.736107835546136, -81.90290031954646",10.86,8.33,0.06
2026-04-16_10:11:02,"40.736070619896054, -81.90293351188302",10.04,8.27,0.04
2026-04-16_10:11:03,"40.73611521162093, -81.90292647108436",11.12,8.01,0.04
2026-04-16_10:11:04,"40.736078498885036, -81.90296133980155",9.74,8.43,0.03
2026-04-16_10:11:05,"40.736122922971845, -81.90295429900289",9.12,8.33,0.05
2026-04-16_10:11:07,"40.73608604259789, -81.90298849716783",11.29,8.2,0.06
2026-04-16_10:11:08,"40.7361304666847, -81.90298179164529",8.66,8.1,0.05
2026-04-16_10:11:09,"40.73609325103462, -81.90301397815347",11.94,8.1,0.05
2026-04-16_10:11:10,"40.73613817803562, -81.90300760790706",9.81,8.1,0.05
2026-04-16_10:11:11,"40.7361011300236, -81.90304080024362",7.09,8.07,0.04
2026-04-16_10:11:13,"40.73614622466266, -81.90303543582559",11.88,8.04,0.06
2026-04-16_10:11:14,"40.73610850609839, -81.90306829288602",9.38,8.33,0.06
2026-04-16_10:11:15,"40.736153768375516, -81.90306292846799",10.73,8.17,0.07
2026-04-16_10:11:16,"40.73611588217318, -81.90309343859553",8.3,5.48,0.03
2026-04-16_10:11:18,"40.736161982640624, -81.90308975055814",9.97,8.01,0.05
2026-04-16_10:11:18,"40.73616768233478, -81.90310852602124",7.41,1.94,0.01
2026-04-16_10:11:19,"40.73612325824797, -81.9031192548573",10.33,8.07,0.05
2026-04-16_10:11:21,"40.73617254383862, -81.90312596037984",9.58,8.33,0.03
2026-04-16_10:11:21,"40.73613197542727, -81.90314808860421",11.38,8.04,0.04
2026-04-16_10:11:24,"40.736180590465665, -81.903155464679",10.83,8.14,0.04
2026-04-16_10:11:24,"40.736139016225934, -81.90317390486598",10.89,8.14,0.06
2026-04-16_10:11:26,"40.736188469454646, -81.9031829573214",9.19,8.1,0.04
2026-04-16_10:11:26,"40.736146895214915, -81.90320139750838",11.19,8.1,0.07
2026-04-16_10:11:29,"40.736196683719754, -81.9032077677548",10.17,8.17,0.05
2026-04-16_10:11:29,"40.736156618222594, -81.90323090180755",11.94,8.04,0.06
2026-04-16_10:11:31,"40.736162988469005, -81.9032540358603",8.76,5.48,0.03
2026-04-16_10:11:31,"40.736203556880355, -81.90323190763593",8.83,6.1,0.03
2026-04-16_10:11:33,"40.73617153801024, -81.90328253433108",7.74,8.3,0.04
2026-04-16_10:11:34,"40.736211938783526, -81.90325973555446",9.25,8.2,0.03
2026-04-16_10:11:36,"40.736219147220254, -81.90328555181623",9.55,6.99,0.03
2026-04-16_10:11:36,"40.736179584637284, -81.90331002697349",9.88,8.23,0.05
2026-04-16_10:11:39,"40.73618629015982, -81.90333617851138",9.22,8.37,0.05
2026-04-16_10:11:39,"40.73622887022793, -81.90331974998116",8.14,8.27,0.04
2026-04-16_10:11:41,"40.73619349859655, -81.90336065366864",7.84,5.81,0.04
2026-04-16_10:11:41,"40.736236246302724, -81.90335026010871",10.83,8.04,0.04
2026-04-16_10:11:44,"40.73620037175715, -81.90338814631104",8.43,8.3,0.04
2026-04-16_10:11:44,"40.73624379001558, -81.90337808802724",9.35,8.3,0.03
2026-04-16_10:11:46,"40.7362097594887, -81.9034199975431",8.3,8.37,0.05
2026-04-16_10:11:47,"40.73625217191875, -81.90340423956513",8.56,8.1,0.03
2026-04-16_10:11:49,"40.736218476668, -81.90344816073775",8.89,8.1,0.05
2026-04-16_10:11:49,"40.736260721459985, -81.90343206748366",9.15,8.07,0.03
2026-04-16_10:11:50,"40.73626625351608, -81.90344983711839",9.61,2.46,0.01
2026-04-16_10:11:51,"40.73622618801892, -81.90347531810403",6.96,8.1,0.04
2026-04-16_10:11:53,"40.73623306117952, -81.90349878743291",7.41,5.18,0.03
2026-04-16_10:11:53,"40.73627379722893, -81.90347732976079",9.78,5.84,0.03
2026-04-16_10:12:17,"40.736324759200215, -81.90363423898816",8.6,8.33,0.04
2026-04-16_10:12:20,"40.73635677807033, -81.90363390371203",6.82,7.74,0.03
2026-04-16_10:12:21,"40.73638544417918, -81.90362149849534",9.15,0.43,0.0
2026-04-16_10:12:28,"40.73635811917484, -81.90356081351638",10.86,8.01,0.05
2026-04-16_10:12:29,"40.73639667592943, -81.90352393314242",9.51,7.61,0.05
2026-04-16_10:12:29,"40.736353592947125, -81.90353767946362",8.01,3.28,0.01
2026-04-16_10:12:32,"40.736387288197875, -81.90348973497748",9.48,8.33,0.06
2026-04-16_10:12:33,"40.73634554632008, -81.90350783988833",10.6,8.27,0.05
2026-04-16_10:12:33,"40.736381923779845, -81.90347330644727",4.2,1.12,0.0
2026-04-16_10:12:33,"40.736340349540114, -81.90349208191037",3.77,0.62,0.0
2026-04-16_10:12:36,"40.73637689463794, -81.90345453098416",9.12,8.01,0.05
2026-04-16_10:12:36,"40.736334985122085, -81.90347196534276",11.19,8.27,0.06
2026-04-16_10:12:36,"40.736371697857976, -81.90343776717782",5.35,1.38,0.0
2026-04-16_10:12:37,"40.73632995598018, -81.90345553681254",6.69,1.74,0.01
2026-04-16_10:12:39,"40.7363220769912, -81.90342972055078",6.33,0.36,0.0
2026-04-16_10:12:40,"40.73636298067868, -81.90340926870704",8.96,7.51,0.06
2026-04-16_10:12:44,"40.73631000705063, -81.90338915213943",8.53,8.23,0.04
2026-04-16_10:12:44,"40.73635074310005, -81.9033676944673",8.83,7.97,0.04
2026-04-16_10:12:47,"40.736297937110066, -81.9033452309668",9.35,5.38,0.03
2026-04-16_10:12:48,"40.73634001426399, -81.90332913771272",10.27,8.07,0.05
2026-04-16_10:12:48,"40.736334985122085, -81.90331203863025",5.15,1.97,0.01
2026-04-16_10:12:51,"40.736288046464324, -81.90331069752574",10.2,8.07,0.06
2026-04-16_10:12:51,"40.73632827959955, -81.90328722819686",8.86,7.71,0.05
2026-04-16_10:12:51,"40.73628301732242, -81.90329426899552",5.35,1.35,0.01
2026-04-16_10:12:54,"40.73631771840155, -81.90325437113643",10.07,8.17,0.04
2026-04-16_10:12:55,"40.73627564124763, -81.90327046439052",9.65,8.37,0.05
2026-04-16_10:12:55,"40.73631084524095, -81.90323190763593",9.42,3.61,0.02
2026-04-16_10:12:55,"40.736270444467664, -81.9032540358603",5.97,2.17,0.01
2026-04-16_10:12:58,"40.73626407422125, -81.90323023125529",11.55,8.07,0.04
2026-04-16_10:12:59,"40.73630430735648, -81.90320709720254",8.79,7.91,0.03
2026-04-16_10:12:59,"40.736258709803224, -81.90321145579219",6.43,3.12,0.02
2026-04-16_10:13:01,"40.736252842471, -81.90319268032908",8.6,8.3,0.04
2026-04-16_10:13:02,"40.736247980967164, -81.903176587075",6.43,0.92,0.0
2026-04-16_10:13:02,"40.73629190213978, -81.90316585823894",10.76,8.23,0.05
2026-04-16_10:13:05,"40.736239766702056, -81.90314909443259",8.56,8.01,0.04
2026-04-16_10:13:06,"40.73628100566566, -81.90312964841723",7.97,8.27,0.04
2026-04-16_10:13:06,"40.7362359110266, -81.90313434228301",3.77,0.43,0.0
2026-04-16_10:13:06,"40.73627664707601, -81.90311321988702",5.64,0.82,0.0
2026-04-16_10:13:09,"40.73622685857117, -81.90310383215547",6.96,1.94,0.01
2026-04-16_10:13:09,"40.73626927100122, -81.90308639779687",6.56,8.1,0.03
2026-04-16_10:13:10,"40.736264577135444, -81.90307097509503",4.76,1.15,0.01
2026-04-16_10:13:13,"40.73621747083962, -81.90306963399053",10.27,8.33,0.06
2026-04-16_10:13:13,"40.73625770397484, -81.9030468352139",10.7,8.33,0.07
2026-04-16_10:13:13,"40.73621227405965, -81.90305253490806",6.43,0.98,0.0
2026-04-16_10:13:16,"40.73624982498586, -81.90301900729537",7.94,8.07,0.03
2026-04-16_10:13:17,"40.736205568537116, -81.90303007140756",9.97,8.23,0.06
2026-04-16_10:13:18,"40.73620037175715, -81.90301230177283",5.02,2.49,0.01
2026-04-16_10:13:18,"40.736242113634944, -81.90299386158586",9.35,7.12,0.03
2026-04-16_10:13:21,"40.73619215749204, -81.9029844738543",8.86,7.97,0.04
2026-04-16_10:13:21,"40.73623205535114, -81.90296167507768",8.99,7.84,0.04
2026-04-16_10:13:24,"40.73622384108603, -81.90293217077851",10.04,8.04,0.05
2026-04-16_10:13:25,"40.73618126101792, -81.90294792875648",10.76,8.23,0.06
2026-04-16_10:13:26,"40.73621713556349, -81.90290937200189",8.1,4.66,0.02
2026-04-16_10:13:28,"40.73617287911475, -81.90291741862893",10.99,8.3,0.04
2026-04-16_10:13:29,"40.73621076531708, -81.902885902673",9.74,7.97,0.04
2026-04-16_10:13:30,"40.73616650886834, -81.90289529040456",9.97,4.72,0.03
2026-04-16_10:13:33,"40.736197186633945, -81.90284164622426",9.97,8.23,0.06
2026-04-16_10:13:34,"40.73615578003228, -81.90286075696349",10.04,7.87,0.04
2026-04-16_10:13:34,"40.73619249276817, -81.90282521769404",6.0,0.92,0.0
2026-04-16_10:13:37,"40.73614555411041, -81.90282622352242",10.73,8.14,0.06
2026-04-16_10:13:37,"40.736186457797885, -81.90280577167869",7.84,8.23,0.05
2026-04-16_10:13:37,"40.73614119552076, -81.90280912443995",5.61,1.31,0.01
2026-04-16_10:13:40,"40.73617891408503, -81.90277760848403",8.99,8.1,0.04
2026-04-16_10:13:41,"40.736134154722095, -81.90278330817819",11.06,8.17,0.04
2026-04-16_10:13:42,"40.73612946085632, -81.9027672149241",6.92,1.71,0.01
2026-04-16_10:13:43,"40.73617019690573, -81.90274877473712",8.79,8.33,0.04
2026-04-16_10:13:45,"40.736124431714416, -81.90275145694613",9.58,8.07,0.06
2026-04-16_10:13:45,"40.736162988469005, -81.90272329375148",11.81,8.14,0.07
2026-04-16_10:13:46,"40.73611822910607, -81.90273201093078",7.78,3.12,0.02
2026-04-16_10:13:48,"40.736155612394214, -81.90269714221358",10.43,8.04,0.06
2026-04-16_10:13:49,"40.73611252941191, -81.90270887687802",11.52,8.27,0.05
2026-04-16_10:13:50,"40.73610699735582, -81.90269010141492",8.92,2.33,0.02
2026-04-16_10:13:51,"40.73614823631942, -81.90266998484731",10.5,8.14,0.05
2026-04-16_10:13:53,"40.73610079474747, -81.90266797319055",10.2,8.14,0.07
2026-04-16_10:13:54,"40.73613968677819, -81.90264182165265",8.04,8.2,0.06
2026-04-16_10:13:54,"40.736135663464665, -81.90262774005532",5.22,1.05,0.0
2026-04-16_10:13:54,"40.73609526269138, -81.90264819189906",9.19,3.18,0.01
2026-04-16_10:13:58,"40.736088221892715, -81.90262706950307",13.81,8.17,0.05
2026-04-16_10:13:58,"40.73612811975181, -81.90260292962193",10.73,8.3,0.06
2026-04-16_10:13:58,"40.7361235935241, -81.90258616581559",7.81,1.44,0.01
2026-04-16_10:13:58,"40.7361217495054, -81.90258147194982",1.87,0.13,0.0
2026-04-16_10:14:00,"40.736080007627606, -81.90259924158454",11.35,8.14,0.04
2026-04-16_10:14:01,"40.736116049811244, -81.90256269648671",11.61,8.2,0.06
2026-04-16_10:14:02,"40.73611085303128, -81.90254392102361",3.84,2.2,0.01
2026-04-16_10:14:03,"40.73607196100056, -81.90257443115115",11.35,6.66,0.04
